"en","nl","es","zh-CN","de","fr","it","pt","el","pl","da","fi","no","ar","ko","ja","iw","sv","cs","ru","tl","ceb"
"This is the module that shows the category pages; Categories can have url-keys","Dit is de module die de categorie pagina's laat zien; Categorieën kunnen url-toetsen hebben","Este es el módulo que muestra las páginas de categorías; Las categorías pueden tener url-teclas","这是示出类别页面的模块;分类可以有URL的钥匙","Dies ist das Modul, das die Kategorie-Seiten zeigt; Kategorien können url-Tasten haben","Ceci est le module qui affiche les pages de catégories; Les catégories peuvent être url-clés","Questo è il modulo che mostra le pagine di categoria; Le categorie possono avere url-keys","Este é o módulo que mostra as páginas da categoria; Categorias podem ter-chaves url","Αυτή είναι η ενότητα που δείχνει τις σελίδες της κατηγορίας? Κατηγορίες μπορούν να έχουν url-κλειδιά","Jest to moduł, który pokazuje na stronach kategorii; Kategorie mogą mieć URL klucze","Dette er det modul, der viser de kategorisiderne; Kategorier kan have url-nøgler","Tämä on moduuli, joka osoittaa luokkasivut; Luokat voivat olla url-avaimet","Dette er modulen som viser kategorisidene; Kategorier kan ha url-tastene","هذه هي الوحدة التي تظهر في صفحة الفئة؛ فئات يمكن أن يكون رابط مفاتيح","이 카테고리 페이지를 표시 모듈; 카테고리 URL-키를 가질 수있다","これは、カテゴリページを示しているモジュールです。カテゴリはURLのキーを持つことができます","זהו מודול המציג דפי קטגוריות; קטגוריות יכולות להיות url-מפתחות","Detta är den modul som visar kategori sidor; Kategorier kan ha url-nycklar","Jedná se o modul, který zobrazuje stránky kategorie; Kategorie mohou mít klíče URL","Это модуль, который отображает страницы категорий; Категории могут иметь URL-клавиши","Ito ang module na nagpapakita ng mga pahina ng kategorya; Kategorya ay maaaring magkaroon ng url-keys","Kini mao ang module nga nagpakita sa mga panid kategoriya; Kategoriya makabaton url-yawe"
"This is the module that shows the comparision of differnt producs","Dit is de module die de vergelijking van differnt producs toont","Este es el módulo que muestra la comparación de las diferentes personas producs","这是显示不同的充中制成的对比模块","Dies ist das Modul, das den Vergleich der differnt producs zeigt","Ceci est le module qui montre la comparaison des producs differnt","Questo è il modulo che mostra il confronto di producs differnt","Este é o módulo que mostra a comparação de producs differnt","Αυτή είναι η μονάδα που δείχνει την σύγκριση των differnt producs","Jest to moduł, który pokazuje Porównanie differnt ofertami","Dette er det modul, der viser sammenligning af differnt Produktmoms","Tämä on moduuli, joka osoittaa vertailun differnt producs","Dette er modulen som viser sammenligning av avviker producs","هذه هي الوحدة التي تظهر المقارنة من مشتقاته اختلاف","이 differnt 한의 producs의을 비교 한을 표시 모듈","これは、differnt製品情報の比較ですを示しているモジュールです。","זהו מודול המציג את ההשוואה של producs differnt","Detta är den modul som visar jämförelse av differnt producs","Jedná se o modul, který ukazuje Srovnání ruznych producs","Это модуль, который показывает СРАВНЕНИЕ различно producs","Ito ang module na nagpapakita ng paghahambing ng differnt producs","Kini mao ang module nga nagpakita sa comparision sa differnt producs"
"This is the module that shows the developers manual","Dit is de module die de ontwikkelaars handleiding toont","Este es el módulo que muestra el manual de desarrolladores","这是示出开发商手册模块","Dies ist das Modul, das die Entwickler Handbuch zeigt","Ceci est le module qui montre le manuel des développeurs","Questo è il modulo che mostra l'uso sviluppatori","Este é o módulo que mostra o manual promotores","Αυτή είναι η ενότητα που παρουσιάζει το εγχειρίδιο προγραμματιστές","Jest to moduł, który pokazuje instrukcję deweloperów","Dette er det modul, der viser udviklerne manual","Tämä on moduuli, joka osoittaa kehittäjät käsikirja","Dette er modulen som viser utviklere manuell","هذا هو وحدة الذي يظهر دليل المطورين","이것은 개발자 설명서를 표시 모듈","これにより、開発者マニュアルを示しているモジュールです。","זהו מודול המציג במדריך למפתחים","Detta är den modul som visar utvecklare manual","Jedná se o modul, který ukazuje, že vývojáři manuál","Это модуль, который показывает инструкцию разработчиков","Ito ang module na nagpapakita ng manual developer","Kini mao ang module nga nagpakita sa manwal developers"
"This is the module that shows the featured products","Dit is de module die de producten in de kijker toont","Este es el módulo que muestra los productos destacados","这是示出特色产品的模块","Dies ist das Modul, das die vorgestellten Produkte zeigt","Ceci est le module qui présente les produits phares","Questo è il modulo che mostra i prodotti in vetrina","Este é o módulo que mostra os produtos em destaque","Αυτή είναι η ενότητα που παρουσιάζει τα προτεινόμενα προϊόντα","Jest to moduł, który pokazuje Polecane produkty","Dette er det modul, der viser de udvalgte produkter","Tämä on moduuli, joka osoittaa varustellun tuotteet","Dette er modulen som viser utvalgte produkter","هذه هي الوحدة التي تظهر المنتجات المميزة","이 기능을 갖춘 제품을 표시하는 모듈입니다","これは、機能を備えた製品を示しているモジュールです。","זהו מודול המציג את המוצרים מומלצים","Detta är den modul som visar utvalda produkter","Jedná se o modul, který ukazuje hlavní produkty","Это модуль, который показывает Рекомендуемые товары","Ito ang module na nagpapakita ng itinatampok na mga produkto","Kini mao ang module nga nagpakita sa Featured mga produkto"
"This is the module that shows the home page","Dit is de module die de homepage geeft","Este es el módulo que muestra la página de inicio","这是表示主页的模块","Dies ist das Modul, das die Startseite zeigt","Ceci est le module qui montre la page d'accueil","Questo è il modulo che mostra la home page","Este é o módulo que mostra a home page","Αυτή είναι η μονάδα που δείχνει την αρχική σελίδα","Jest to moduł, który pokazuje stronę główną","Dette er det modul, der viser hjemmesiden","Tämä on moduuli, joka osoittaa kotisivu","Dette er modulen som viser hjemmesiden","هذه هي الوحدة التي تظهر في الصفحة الرئيسية","이 홈페이지를 표시 모듈","これは、ホームページを示しモジュールであり、","זהו מודול המציג את דף הבית","Detta är den modul som visar hemsidan","Jedná se o modul, který ukazuje na domovskou stránku","Это модуль, который показывает главную страницу","Ito ang module na nagpapakita ng home page","Kini mao ang module nga nagpakita sa home page"
"This is the module that shows the login and logout pages","Dit is de module die de login en logout pagina's toont","Este es el módulo que muestra las páginas de conexión y desconexión","这是示出登录和注销页面模块","Dies ist das Modul, das die An- und Abmeldeseiten zeigt","Ceci est le module qui affiche les pages de connexion et de déconnexion","Questo è il modulo che mostra le pagine di login e logout","Este é o módulo que mostra as páginas de login e logout","Αυτή είναι η ενότητα που δείχνει τις σελίδες σύνδεσης και αποσύνδεσης","Jest to moduł, który pokazuje strony logowania i wylogowania","Dette er det modul, der viser login og logout sider","Tämä on moduuli, joka osoittaa kirjautuminen ja logout sivut","Dette er modulen som viser innlogging og utlogging sider","هذا هو وحدة الذي يظهر تسجيل الدخول والخروج الصفحات","이 로그인 및 로그 아웃 페이지를 표시 모듈","これは、ログインおよびログアウトページを示しているモジュールです。","זהו מודול המציג את דפי כניסת התנתקות","Detta är den modul som visar inloggning och utloggning sidor","Jedná se o modul, který zobrazuje přihlášení a odhlášení stránky","Это модуль, который показывает входа и выхода страниц","Ito ang module na nagpapakita ng pag-login at logout pahina","Kini mao ang module nga nagpakita nga ang login ug logout mga panid"
"This is the module that shows the most ineteresting products","Dit is de module die de meest ineteresting producten toont","Este es el módulo que muestra los productos más ineteresting","这是示出最ineteresting产品模块","Dies ist das Modul, das die meisten ineteresting Produkte zeigt","Ceci est le module qui montre le plus de produits de ineteresting","Questo è il modulo che mostra i prodotti più ineteresting","Este é o módulo que mostra a maioria dos produtos ineteresting","Αυτή είναι η ενότητα που παρουσιάζει τα περισσότερα προϊόντα ineteresting","Jest to moduł, który pokazuje najwięcej produktów ineteresting","Dette er det modul, der viser de fleste ineteresting produkter","Tämä on moduuli, joka näyttää eniten ineteresting tuotteet","Dette er modulen som viser flest ineteresting produkter","هذا هو وحدة الذي يعرض معظم المنتجات ineteresting","이것은 가장 ineteresting 제품을 표시 모듈","これは、ほとんどのineteresting産物を示すモジュールです。","זהו מודול המציג את מוצרי ineteresting ביותר","Detta är den modul som visar flest ineteresting produkter","Jedná se o modul, který zobrazuje nejvíce ineteresting výrobky","Это модуль, который показывает самые ineteresting продукты","Ito ang module na nagpapakita ng karamihan sa mga produkto ineteresting","Kini mao ang module nga nagpakita sa kadaghanan sa mga produkto ineteresting"
"This is the module that shows the most viewed products","Dit is de module die de meest bekeken producten toont","Este es el módulo que muestra los productos más vistos","这是示出最多观看的产品的模块","Dies ist das Modul, das die meisten angeschauten Produkte zeigt","Ceci est le module qui montre les produits les plus consultés","Questo è il modulo che mostra i prodotti più visti","Este é o módulo que mostra os produtos mais vistos","Αυτή είναι η ενότητα που εμφανίζει τα πιο εμφανισμένα προϊόντα","Jest to moduł, który pokazuje najczęściej oglądane produkty","Dette er det modul, der viser de mest viste produkter","Tämä on moduuli, joka näyttää eniten tuotteet","Dette er modulen som viser de mest viste produkter","هذا هو وحدة الذي يدل على المنتجات الأكثر مشاهدة","이것은 가장 본 상품을 표시 모듈","これは、最も閲覧製品を示しているモジュールです。","זהו מודול המציג את המוצרים הנצפים ביותר","Detta är den modul som visar de mest visade produkter","Jedná se o modul, který zobrazuje nejvíce zobrazované produkty","Это модуль, который отображает наиболее просматриваемые товары","Ito ang module na nagpapakita ng pinaka-pinapanood na mga produkto","Kini mao ang module nga nagpakita ang labing gitan-aw nga mga produkto"
"This is the module that shows the new products","Dit is de module die de nieuwe producten toont","Este es el módulo que muestra los nuevos productos","这是示出新产品的模块","Dies ist das Modul, das die neuen Produkte zeigt","Ceci est le module qui présente les nouveaux produits","Questo è il modulo che mostra i nuovi prodotti","Este é o módulo que mostra os novos produtos","Αυτή είναι η μονάδα που δείχνει τα νέα προϊόντα","Ten moduł, który przedstawia nowe wyroby","Dette er det modul, der viser de nye produkter","Tämä on moduuli, joka osoittaa uusia tuotteita","Dette er modulen som viser de nye produktene","هذه هي الوحدة التي تظهر منتجات جديدة","이 새로운 제품을 표시 모듈","これは、新製品を示しているモジュールであります","זהו מודול המציג את המוצרים החדשים","Detta är den modul som visar de nya produkterna","Jedná se o modul, který ukazuje nové produkty","Это модуль, который показывает новые продукты","Ito ang module na nagpapakita ng mga bagong produkto","Kini mao ang module nga nagpakita sa bag-o nga mga produkto"
"This is the module that shows the pages for a survey","Dit is de module die de pagina's voor een enquête blijkt","Este es el módulo que muestra las páginas para una encuesta","这是示出了用于调查的页面模块","Dies ist das Modul, das die Seiten für eine Umfrage zeigt,","Ceci est le module qui affiche les pages pour une enquête","Questo è il modulo che mostra le pagine per un'indagine","Este é o módulo que mostra as páginas para um levantamento","Αυτή είναι η ενότητα που δείχνει τις σελίδες για την έρευνα","Jest to moduł, który pokazuje stronach ankiety","Dette er det modul, der viser siderne til en undersøgelse","Tämä on moduuli, joka näyttää sivut kyselyn","Dette er modulen som viser sidene for en undersøkelse","هذه هي الوحدة التي تظهر صفحات للمسح","이 설문 조사에 대한 페이지를 표시 모듈","これは、調査のためのページを示しているモジュールです。","זהו מודול המציג את הדף עבור סקר","Detta är den modul som visar de sidor för en undersökning","Jedná se o modul, který zobrazuje stránky pro průzkum","Это модуль, который отображает страницы для обследования","Ito ang module na nagpapakita ng mga pahina para sa isang survey","Kini mao ang module nga nagpakita sa mga panid alang sa usa ka survey"
"This is the module that shows the pages for the Frequently Asked Questions","Dit is de module die de pagina's voor de Frequently Asked Questions toont","Este es el módulo que muestra las páginas para las preguntas más frecuentes","这是显示了常见问题页面模块","Dies ist das Modul, das die Seiten für den häufig gestellten Fragen zeigt","Ceci est le module qui affiche les pages de la Foire aux questions","Questo è il modulo che mostra le pagine per le Domande frequenti","Este é o módulo que mostra as páginas para as Perguntas Mais Frequentes","Αυτή είναι η ενότητα που δείχνει τις σελίδες για τις Συχνές Ερωτήσεις","Jest to moduł, który pokazuje strony dla najczęściej zadawanych pytań","Dette er det modul, der viser siderne til de ofte stillede spørgsmål","Tämä on moduuli, joka osoittaa sivut Usein kysyttyä","Dette er modulen som viser sidene for Ofte stilte spørsmål","هذه هي الوحدة التي تظهر في صفحة للأسئلة وأجوبة","이것은 자주 묻는 질문 (FAQ)에 대한 페이지를 표시 모듈","これは、よくある質問のためのページを示しているモジュールです。","זהו מודול המציג את הדפים עבור שאלות נפוצות","Detta är den modul som visar sidorna för Vanliga frågor","Jedná se o modul, který zobrazuje stránky pro Často kladené otázky","Это модуль, который отображает страницы для часто задаваемых вопросов","Ito ang module na nagpapakita ng mga pahina para sa Frequently Asked Questions","Kini mao ang module nga nagpakita sa mga panid alang sa mga Pangutana nga Kanunayng Gisukna"
"This is the module that shows the pages of the forum","Dit is de module die de pagina's van het forum toont","Este es el módulo que muestra las páginas del foro","这是显示了论坛的页面模块","Dies ist das Modul, das die Seiten des Forums zeigt","Ceci est le module qui affiche les pages du forum","Questo è il modulo che mostra le pagine del foro","Este é o módulo que mostra as páginas do fórum","Αυτή είναι η ενότητα που δείχνει τις σελίδες του φόρουμ","Jest to moduł, który pokazuje stronice forum","Dette er det modul, der viser siderne i forummet","Tämä on moduuli, joka osoittaa sivua foorumin","Dette er modulen som viser sidene av forumet","هذه هي الوحدة التي تظهر على صفحات المنتدى","이 포럼의 페이지를 표시 모듈","これは、フォーラムのページを示しているモジュールです。","זהו מודול המציג את דפי הפורום","Detta är den modul som visar sidorna i forumet","Jedná se o modul, který zobrazuje stránky fóra","Это модуль, который показывает страницы форума","Ito ang module na nagpapakita ng mga pahina ng forum","Kini mao ang module nga nagpakita sa mga panid sa forum"
"This is the module that shows the products others are now viewing","Dit is de module die de produkten anderen worden weergegeven toont","Este es el módulo que muestra los productos que otros lo están viendo ahora","这是显示产品，现在其他人查看模块","Dies ist das Modul, das die Produkte anderer zeigt jetzt sehen","Ceci est le module qui présente les produits d'autres visualisez","Questo è il modulo che mostra i prodotti altri stanno visualizzando","Este é o módulo que mostra os produtos os outros estão vendo agora","Αυτή είναι η ενότητα που δείχνει τα προϊόντα τους άλλους τώρα βλέπουν","Jest to moduł, który pokazuje produkty inni Przeglądasz teraz","Dette er det modul, der viser de produkter andre kigger med nu","Tämä on moduuli, joka osoittaa tuotteiden muuta katselevat tällä hetkellä","Dette er modulen som viser produktene andre er nå sett på","هذا هو وحدة الذي يدل على المنتجات الآخرين يشاهدون الآن","이것은 다른 사람이 지금보고있는 제품을 보여줍니다 모듈","これは、他の人が今表示している製品を示しているモジュールです。","זהו מודול המציג את המוצרים אחרים צופים כעת","Detta är den modul som visar produkterna andra nu tittar","Jedná se o modul, který zobrazuje produkty, jiné jsou nyní prohlížení","Это модуль, который показывает продукты другие теперь просмотр","Ito ang module na nagpapakita ng mga produkto sa iba Tumitingin na ngayon si","Kini mao ang module nga nagpakita sa mga produkto sa uban karon pagtan-aw"
"This is the module that shows the products with a certain tag","Dit is de module die de producten toont met een bepaalde tag","Este es el módulo que muestra los productos con una determinada etiqueta","这是表示该产品具有一定的标签模块","Dies ist das Modul, das die Produkte mit einem bestimmten Tag zeigt","Ceci est le module qui montre les produits avec une certaine étiquette","Questo è il modulo che mostra i prodotti con un certo tag","Este é o módulo que mostra os produtos com uma certa etiqueta","Αυτή είναι η μονάδα που δείχνει τα προϊόντα που με μια ορισμένη ετικέτα","To pokazuje, że moduł produktów o pewnej zmiennej","Dette er det modul, der viser produkterne med en vis tag","Tämä on moduuli, joka osoittaa tuotteiden tietty tunniste","Dette er den modul som viser produktene med en viss kode","هذا هو وحدة الذي يدل على المنتجات مع علامة معينة","이것은 특정 태그로 제품을 표시 모듈","これは、特定のタグの製品を示しているモジュールです。","זהו מודול המציג את המוצרים עם תג מסוים","Detta är den modul som visar de produkter med en viss tagg","Jedná se o modul, který zobrazuje produkty s určitou značkou","Это модуль, который показывает продукты с определенной меткой","Ito ang module na nagpapakita ng mga produkto na may isang tiyak na tag","Kini mao ang module nga nagpakita sa mga produkto sa usa ka pipila ka mga tag"
"This is the module that shows the recently viewed products by the current user","Dit is de module die de recent bekeken producten toont door de huidige gebruiker","Este es el módulo que muestra los productos vistos por el usuario actual","这是由当前用户显示了刚浏览过的产品的模块","Dies ist das Modul, das die zuletzt angesehenen Artikel vom aktuellen Benutzer zeigt","Ceci est le module qui montre les produits récemment consultés par l'utilisateur courant","Questo è il modulo che mostra i prodotti visualizzati di recente da parte dell'utente corrente","Este é o módulo que mostra os produtos vistos recentemente pelo usuário atual","Αυτή είναι η ενότητα που παρουσιάζει τα στοιχεία που προβλήθηκαν πρόσφατα προϊόντα από τον τρέχοντα χρήστη","Jest to moduł, który pokazuje ostatnio oglądane produkty przez bieżącego użytkownika","Dette er det modul, der viser de nyligt viste produkter af den aktuelle bruger","Tämä on moduuli, joka osoittaa äskettäin tarkastellut tuotteet nykyinen käyttäjä","Dette er modulen som viser nylig viste produkter av gjeldende bruker","هذا هو وحدة الذي يدل على المنتجات التي تم عرضها مؤخرا من قبل المستخدم الحالي","이것은 현재 사용자가 최근에 본 제품을 표시 모듈","これは、現在のユーザが最近表示された製品を示しているモジュールです。","זהו מודול המציגים את המוצרים שהוצגו לאחרונה על ידי משתמש הנוכחי","Detta är den modul som visar nyligen visade produkter från den aktuella användaren","Jedná se o modul, který zobrazuje naposledy prohlédnuté zboží podle aktuálního uživatele","Это модуль, который показывает недавно просмотренные товары текущим пользователем","Ito ang module na nagpapakita ng kamakailang tiningnang mga produkto sa pamamagitan ng kasalukuyang user","Kini mao ang module nga nagpakita sa bag-o lang giisip nga mga produkto sa sa kasamtangan nga user"
"This is the module that shows the result of a filter, for example set with the layered navigation","Dit is de module die het resultaat van een filter toont, zoals ingesteld met de gelaagde navigatie","Este es el módulo que muestra el resultado de un filtro, por ejemplo de conjunto con la navegación en capas","这是示出了过滤器的结果的模块，例如用分层导航设","Dies ist das Modul, das das Ergebnis eines Filters zeigt, beispielsweise mit dem Schicht Navigationzubehor","Ceci est le module qui montre le résultat d'un filtre, par exemple mis à la navigation en couches","Questo è il modulo che mostra il risultato di un filtro, per esempio impostare la navigazione stratificato","Este é o módulo que mostra o resultado de um filtro, por exemplo, definir com a navegação em camadas","Αυτή είναι η μονάδα που δείχνει το αποτέλεσμα ενός φίλτρου, για παράδειγμα που με την πλοήγηση σε στρώσεις","Ten moduł, który pokazuje wyniki filtra, na przykład zestaw warstwowego nawigacji","Dette er det modul, der viser resultatet af et filter, for eksempel, med den lagdelte navigation","Tämä on moduuli, joka esittää tulosta suodattimen, esimerkiksi asettaa kerroksittain navigointi","Dette er den modul som viser resultatet av et filter, for eksempel satt sammen med den lagdelte navigasjon","هذا هو وحدة الذي يظهر نتيجة للمرشح، على سبيل المثال مع مجموعة الملاحة الطبقات","이 적층 탐색 세트, 예를 들어 필터의 결과를 나타낸다 모듈","これは、層状のナビゲーションで設定例えば、フィルタの結果を示しているモジュールであり、","זהו מודול זה מראה את התוצאה של מסנן, למשל להגדיר עם הניווט השכבתי","Detta är den modul som visar resultatet av ett filter, till exempel set med den skiktade navigering","Jedná se o modul, který ukazuje výsledek filtru, například nastavenou vrstvené navigace","Это модуль, который показывает результат фильтра, например, установленной с многоуровневой навигации","Ito ang module na nagpapakita ng mga resulta ng isang filter, halimbawa kasama ng mga layered nabigasyon","Kini mao ang module nga nagpakita sa resulta sa usa ka filter, alang sa panig-ingnan nga uban sa mga hut-ong tabok-tabok"
"This is the module that shows the results of a simple search","Dit is de module die de resultaten van een eenvoudige zoekopdracht toont","Este es el módulo que muestra los resultados de una búsqueda simple","这是表示一个简单的搜索的结果的模块","Dies ist das Modul, das die Ergebnisse einer einfachen Suche zeigt","Ceci est le module qui montre les résultats d'une recherche simple","Questo è il modulo che mostra i risultati di una ricerca semplice","Este é o módulo que mostra os resultados de uma pesquisa simples","Αυτή είναι η ενότητα που δείχνει τα αποτελέσματα μιας απλή αναζήτηση","Ten moduł, który pokazuje wyniki wyszukiwania prostego","Dette er det modul, der viser resultaterne af en simpel søgning","Tämä on moduuli, joka esittää tulokset yksinkertainen haku","Dette er den modul som viser resultatene av et enkelt søk","هذه هي الوحدة التي تظهر في نتائج بحث بسيط","이것은 간단한 검색 결과를 표시 모듈","これは、単純な検索の結果を示すモジュールであります","זהו מודול המציג את התוצאות של חיפוש פשוט","Detta är den modul som visar resultaten av en enkel sökning","Jedná se o modul, který zobrazuje výsledky jednoduchého vyhledávání","Это модуль, который показывает результаты простого поиска","Ito ang module na nagpapakita ng mga resulta ng isang simpleng paghahanap","Kini mao ang module nga nagpakita sa mga resulta sa usa ka yano nga search"
"This is the module that shows the sales products","Dit is de module die de verkoop van producten toont","Este es el módulo que muestra los productos de venta","这是示出销售产品的模块","Dies ist das Modul, das die Verkaufsprodukte zeigt","Ceci est le module qui présente les produits commerciaux","Questo è il modulo che mostra i prodotti di vendita","Este é o módulo que mostra os produtos de venda","Αυτή είναι η ενότητα που παρουσιάζει τις πωλήσεις των προϊόντων","Jest to moduł, który pokazuje produkty sprzedaży","Dette er det modul, der viser de salgsprodukter","Tämä on moduuli, joka osoittaa myynti tuotteet","Dette er modulen som viser salgsprodukter","هذه هي الوحدة التي تظهر مبيعات المنتجات","이 판매되는 제품을 표시 모듈","これは、販売製品を示しているモジュールです。","זהו מודול המציג את מוצרי המכירות","Detta är den modul som visar försäljningsprodukter","Jedná se o modul, který zobrazuje prodejní produkty","Это модуль, который показывает продукты продаж","Ito ang module na nagpapakita ng mga produkto mga benta","Kini mao ang module nga nagpakita sa mga produkto sales"
"This is the module that shows the wishlist of a customer","Dit is de module die de wenslijst van een klant toont","Este es el módulo que muestra la lista de deseos de un cliente","这是表示顾客的愿望清单的模块","Dies ist das Modul, das die Wunschliste eines Kunden zeigt","Ceci est le module qui affiche la liste de souhaits d'un client","Questo è il modulo che mostra la lista di un cliente","Este é o módulo que mostra a lista de um cliente","Αυτή είναι η μονάδα που δείχνει την λίστα επιλογών του πελάτη","Jest to moduł, który pokazuje wszystkie produkty z klientem","Dette er det modul, der viser ønskesedlen af ​​en kunde","Tämä on moduuli, joka osoittaa toivelista asiakkaan","Dette er modulen som viser ønskeliste av en kunde","هذا هو وحدة الذي يظهر مفضلة من العملاء","이는 고객의 위시리스트를 보여줍니다 모듈","これにより、お客様のウィッシュリストを示しているモジュールです。","זהו מודול המציג את רשימת הבקשות של לקוח","Detta är den modul som visar the wish av en kund","Jedná se o modul, který zobrazuje seznam přání zákazníka","Это модуль, который показывает список пожеланий о клиенте","Ito ang module na nagpapakita ng listahan ng mga gusto ng isang customer","Kini mao ang module nga nagpakita sa wishlist sa usa ka customer"
"This is the start capital at the beginning of the year","Dit is het begin kapitaal bij het begin van het jaar","Este es el capital inicial al comienzo del año","这是在今年年初启动资金","Dies ist das Startkapital zu Beginn des Jahres","Ceci est le capital de départ au début de l'année","Questo è il capitale iniziale all'inizio dell'esercizio","Este é o capital inicial no início do ano","Αυτό είναι το αρχικό κεφάλαιο στην αρχή του έτους","To jest kapitał początkowy na początku roku","Dette er starten hovedstad i begyndelsen af ​​året","Tämä on alku pääoma vuoden alussa","Dette er starten kapitalen ved begynnelsen av året","هذه هي عاصمة البداية في بداية السنة","이는 올해 초에 시작 자본","これは、今年の初めに開始首都であります","זהו ההון התחיל בתחילת השנה","Detta är början huvudstad i början av året","To je začátek kapitál na počátku roku","Это начало капитал на начало года","Ito ang simula capital sa simula ng taon","Kini mao ang pagsugod kapital sa sinugdan sa tuig"
"This is the status that marked as not approved due to some points that did not meet the criteria","Dit is de status dat er geen gevolg gemarkeerd goedgekeurd enkele punten die niet aan de criteria","Este es el estado que, como no marcado aprobado debido a algunos puntos que no cumplieron con los criterios","这是一个标记为不因不符合标准的一些要点批准状态","Dies ist der Status, der auf einige Punkte wegen nicht zugelassen gekennzeichnet, die nicht die Kriterien erfüllten","Ceci est l'état qui a marqué comme non approuvé en raison de certains points qui ne répondent pas aux critères","Questo è lo stato che non è contrassegnato come approvato a causa di alcuni punti che non soddisfano i criteri","Este é o estado que, como não marcado aprovado devido a alguns pontos que não atendem aos critérios","Αυτό είναι το καθεστώς που δηλώνονται ως μη εγκεκριμένων οφείλεται σε κάποια σημεία που δεν πληρούν τα κριτήρια","Jest to stan, który nie oznaczone jako zatwierdzony ze względu na pewne punkty, które nie spełniają kryteriów","Dette er den status, markeret som ikke er godkendt på grund af nogle punkter, som ikke opfylder kriterierne","Tämä on tila, joka merkitään ei hyväksytty johtuen joitakin kohtia, jotka eivät täytä","Dette er status at merket som ikke godkjent på grunn av noen punkter som ikke oppfyller kriteriene","هذه هي الحالة التي ملحوظ كما لم تتم الموافقة بسبب بعض النقاط التي لم تستوف المعايير","이 같은 기준을 충족하지 않은 몇 가지 포인트로 인해 승인하지 않은 표시된 상태입니다","これは、原因の基準を満たしていなかったいくつかのポイントに承認されていないとマークされた状態であります","זהו המצב שסימן כמו לא התקבלה בשל כמה נקודות שלא עומדים בקריטריונים","Detta är den status som de inte märkt godkänd på grund av vissa punkter som inte uppfyller kriterierna","To je stav, který není označen jako schválený kvůli některým bodům, které nesplňovaly kritéria","Это статус, который отмечен как не утвержденный в связи с некоторыми точками, которые не отвечают критериям","Ito ang kalagayan na minarkahan bilang hindi naaprubahan dahil sa ilang mga punto na hindi matugunan ang mga pamantayan","Kini mao ang kahimtang nga markang dili aprobahan tungod sa pipila ka mga punto nga wala sa pagsugat sa criteria"
"This is the subscription to the free shop, no paymens but still a subscription","Dit is het abonnement op de free shop, geen paymens maar nog steeds een abonnement","Esta es la suscripción a la tienda libre, no hay paymens pero aún así una suscripción","这是订阅的免费开店，没有paymens但仍然是一个订阅","Dies ist das Abonnement für den Free-Shop, ohne paymens aber immer noch ein Abonnement","Ceci est l'abonnement à la boutique, aucun paymens mais toujours un abonnement","Questo è l'abbonamento al negozio libera, non paymens ma ancora una sottoscrizione","Esta é a assinatura do free shop, há paymens mas ainda uma assinatura","Αυτή είναι η συνδρομή στην ελεύθερη κατάστημα, χωρίς paymens αλλά ακόμα μια συνδρομή","Jest to zapis w swobodnym sklepu, bez paymens ale nadal subskrypcji","Dette er abonnement på butik, ingen paymens men stadig et abonnement","Tämä on tilaus vapaan liikkeen, ei paymens mutta silti tilaus","Dette er abonnementet for free butikken, ingen paymens men fortsatt et abonnement","هذا هو الاشتراك في السوق الحرة، لا paymens ولكن لا يزال الاشتراك","이것은 여전히​​ 무료 가게, 아니 paymens하지만 가입에 가입하다","これはフリー店、無paymensそれでもサブスクリプションへのサブスクリプションであります","זהו מנוי לחנות בחינם, ללא paymens אבל עדיין מנוי","Detta är abonnemanget till den fria butiken, inga paymens men fortfarande en prenumeration","Jedná se o předplatné volném obchodě, žádné paymens ale stále předplatné","Это подписка на свободном магазине, не paymens но все-таки подписки","Ito ang subscription sa libreng shop, walang paymens ngunit pa rin ng isang subscription","Kini mao ang subskripsyon ngadto sa libre nga shop, walay paymens apan sa gihapon usa ka subscription"
